NO.,COUNTRY OF NATIONALITY,2024,2023,% GROWTH
1,Singapore,18855680,14828553,27.2,
2,Indonesia,4145127,3479392,19.1,
3,China,3725894,1613312,130.9,
4,Thailand,2268182,2300158,-1.4,
5,Brunei,1732119,1116211,55.2,
6,India,1365387,773221,76.6,
7,Philippines,571533,461787,23.8,
8,South Korea,553165,465617,18.8,
9,Australia,447785,400909,11.7,
10,Taiwan,423117,311437,35.9,
11,United Kingdom,390035,306926,27.1,
12,Japan,367182,277559,32.3,
13,Vietnam,366525,374181,-2.0,
14,United States,304880,257533,18.4,
15,France,183872,132311,39.0,
16,Germany,170712,137977,23.7,
17,Bangladesh,154596,153093,1.0,
18,Myanmar,147133,102587,43.4,
19,Russia,130998,129514,1.1,
20,Pakistan,106388,111245,-4.4,
